Cantonese (Traditional),Cantonese (Simplified),Jyutping,Yale,English 1,English 2,Tags
百超： 唔好意思噃。,百超： 唔好意思噃。,baak3 ciu1 ： m4 hou2 ji3 si1 bo3 。,baak chīu mh hóu yi sī bo,Pak-Chiu: I’m sorry.,,Cantonese::FSI
李先生： 唔緊要。,李先生： 唔紧要。,lei5 sin1 saang1 ： m4 gan2 jiu3 。,léih sīn sāang mh gán yiu,Mr Lee: That’s all right.,,Cantonese::FSI
張太： 隨便坐啦。,张太： 随便坐啦。,zoeng1 taai3 ： ceoi4 bin6 co5 laa1 。,jēung taai chèuih binh chóh lā,Mrs Cheung: Sit anywhere you like.,,Cantonese::FSI
黃太： 好，唔該。,黄太： 好，唔该。,wong4 taai3 ： hou2 ， m4 goi1 。,wòngh taai hóu mh gōi,Mrs Wong: All right. Thanks.,,Cantonese::FSI
張太： 食煙啦。,张太： 食烟啦。,zoeng1 taai3 ： sik6 jin1 laa1 。,jēung taai sihk yīn lā,Mrs Cheung: Have a cigarette.,,Cantonese::FSI
黃太： 唔洗客氣。,黄太： 唔洗客气。,wong4 taai3 ： m4 sai2 haak3 hei3 。,wòngh taai mh sái haak hei,Mrs Wong: No thanks. (Don’t be polite.),,Cantonese::FSI
張太： 唔好客氣啊。,张太： 唔好客气啊。,zoeng1 taai3 ： m4 hou2 haak3 hei3 aa3 。,jēung taai mh hóu haak hei a,Mrs Cheung: Don’t be polite.,,Cantonese::FSI
張太： 唔洗唔該。,张太： 唔洗唔该。,zoeng1 taai3 ： m4 sai2 m4 goi1 。,jēung taai mh sái mh gōi,Mrs Cheung: You’re welcome.,,Cantonese::FSI
張太： 飲荼啦。,张太： 饮荼啦。,zoeng1 taai3 ： jam2 tou4 laa1 。,jēung taai yám tòuh lā,Mrs Cheung: Have some tea.,,Cantonese::FSI
黃太： 唔該。,黄太： 唔该。,wong4 taai3 ： m4 goi1 。,wòngh taai mh gōi,Mrs Wong: Thank you.,,Cantonese::FSI
張太： 食餅啦。,张太： 食饼啦。,zoeng1 taai3 ： sik6 beng2 laa1 。,jēung taai sihk béng lā,Mrs Cheung: Have some cookies.,,Cantonese::FSI
黃太： 唔洗嘞，唔該。,黄太： 唔洗嘞，唔该。,wong4 taai3 ： m4 sai2 la3 ， m4 goi1 。,wòngh taai mh sái la mh gōi,Mrs Wong: No thanks.,,Cantonese::FSI
張太： 試吓啦。,张太： 试吓啦。,zoeng1 taai3 ： si3 haa2 laa1 。,jēung taai si há lā,Mrs Cheung: Try a little.,,Cantonese::FSI
黃太： 真係唔洗客氣呢。,黄太： 真系唔洗客气呢。,wong4 taai3 ： zan1 hai6 m4 sai2 haak3 hei3 ne1 。,wòngh taai jān haih mh sái haak hei nē,"Mrs Wong: No thanks, really.",,Cantonese::FSI
黃太： 哎呀！五點喇，我要走喇！,黄太： 哎呀！五点喇，我要走喇！,wong4 taai3 ： aai1 aa4 ！ ng5 dim2 laa3 ， ngo5 jiu3 zau2 laa3 ！,wòngh taai āai àh ngh dím la ngóh yiu jáu la,Mrs Wong: Oh! It’s five o’clock. I must be going!,,Cantonese::FSI
張太： 唔好咁快走啦！,张太： 唔好咁快走啦！,zoeng1 taai3 ： m4 hou2 gam3 faai3 zau2 laa1 ！,jēung taai mh hóu gam faai jáu lā,Mrs Cheung: Don’t go so soon!,,Cantonese::FSI
黃太： 唔係呀，真係要走嘞。,黄太： 唔系呀，真系要走嘞。,wong4 taai3 ： m4 hai6 aa4 ， zan1 hai6 jiu3 zau2 la3 。,wòngh taai mh haih àh jān haih yiu jáu la,"Mrs Wong: No, I really must go.",,Cantonese::FSI
售貨員： 買咩嘢呀？,售货员： 买咩嘢呀？,sau6 fo3 jyun4 ： maai5 me1 je5 aa4 ？,sauh fo yùnh máaih mē yéh àh,Sales clerk: Buy what? (May I help you?),,Cantonese::FSI
顧客： 我想買件裇衫。 呢件幾多錢呀？,顾客： 我想买件裇衫。 呢件几多钱呀？,gu3 haak3 ： ngo5 soeng2 maai5 gin6 seot1 saam1 。 ne1 gin6 gei2 do1 cin2 aa4 ？,gu haak ngóh séung máaih ginh sēut sāam nē ginh géi dō chín àh,Customer: I want to buy a shirt. How much is this one?,,Cantonese::FSI
售貨員： 呢件廿四文。,售货员： 呢件廿四文。,sau6 fo3 jyun4 ： ne1 gin6 jaa6 sei3 man4 。,sauh fo yùnh nē ginh yah sei mành,Sales clerk: This one is $24.,,Cantonese::FSI
顧客： 嗰兩件係唔係都係廿四文件呀？,顾客： 𠮶两件系唔系都系廿四文件呀？,gu3 haak3 ： go2 loeng5 gin6 hai6 m4 hai6 dou1 hai6 jaa6 sei3 man4 gin6 aa4 ？,gu haak gó léungh ginh haih mh haih dōu haih yah sei mành ginh àh,"Customer: Those two, are they also $24 each?",,Cantonese::FSI
售貨員： 唔係; 二十文件啫。,售货员： 唔系; 二十文件啫。,sau6 fo3 jyun4 ： m4 hai6 ; ji6 sap6 man4 gin6 ze1 。,sauh fo yùnh mh haih ; yih sahp mành ginh jē,Sales clerk: No. Only $20 each.,,Cantonese::FSI
售貨員： 要幾多件呀？,售货员： 要几多件呀？,sau6 fo3 jyun4 ： jiu3 gei2 do1 gin6 aa4 ？,sauh fo yùnh yiu géi dō ginh àh,Sales clerk: How many do you want?,,Cantonese::FSI
顧客： 一件夠嘞。,顾客： 一件够嘞。,gu3 haak3 ： jat1 gin6 gau3 la3 。,gu haak yāt ginh gau la,Customer: One is enough.,,Cantonese::FSI
售貨員： 咁，你買唔買嗰兩件呀？,售货员： 咁，你买唔买𠮶两件呀？,sau6 fo3 jyun4 ： gam3 ， nei5 maai5 m4 maai5 go2 loeng5 gin6 aa4 ？,sauh fo yùnh gam néih máaih mh máaih gó léungh ginh àh,Sales clerk: Are you going to buy those two?,,Cantonese::FSI
顧客： 唔買嘞。,顾客： 唔买嘞。,gu3 haak3 ： m4 maai5 la3 。,gu haak mh máaih la,"Customer: Not now, thanks.",,Cantonese::FSI
火記： 買咩嘢呀？,火记： 买咩嘢呀？,fo2 gei3 ： maai5 me1 je5 aa4 ？,fó gei máaih mē yéh àh,Clerk: What will you have?,,Cantonese::FSI
顧客： 呢啲係咩嘢嚟㗎？,顾客： 呢啲系咩嘢嚟㗎？,gu3 haak3 ： ne1 di1 hai6 me1 je5 lai4 ga3 ？,gu haak nē dī haih mē yéh làih ga,Customer: What’s this?,,Cantonese::FSI
火記： 呢啲係牛肉。 你愛唔愛呢？,火记： 呢啲系牛肉。 你爱唔爱呢？,fo2 gei3 ： ne1 di1 hai6 ngau4 juk6 。 nei5 oi3 m4 oi3 ne1 ？,fó gei nē dī haih ngàuh yuhk néih oi mh oi nē,Clerk: This is beef. Do you want some?,,Cantonese::FSI
顧客： 唔愛。我想愛啲豬肉。 幾多錢斤呀？,顾客： 唔爱。我想爱啲猪肉。 几多钱斤呀？,gu3 haak3 ： m4 oi3 。 ngo5 soeng2 oi3 di1 zyu1 juk6 。 gei2 do1 cin2 gan1 aa4 ？,gu haak mh oi ngóh séung oi dī jyū yuhk géi dō chín gān àh,"Customer: No, I don’t. I want to get some pork. How mch is it per catty?",,Cantonese::FSI
火記： 呢啲四個六銀錢斤。,火记： 呢啲四个六银钱斤。,fo2 gei3 ： ne1 di1 sei3 go3 luk6 ngan4 cin2 gan1 。,fó gei nē dī sei go luhk ngành chín gān,Clerk: This is $4.60 per catty.,,Cantonese::FSI
顧客： 畀兩斤我啦。 啲橙點賣呢？,顾客： 畀两斤我啦。 啲橙点卖呢？,gu3 haak3 ： bei2 loeng5 gan1 ngo5 laa1 。 di1 caang2 dim2 maai6 ne1 ？,gu haak béi léungh gān ngóh lā dī cháang dím maaih nē,Customer: Give me two catties. What do the oranges sell for?,,Cantonese::FSI
火記： 五毫子個。,火记： 五毫子个。,fo2 gei3 ： ng5 hou4 zi2 go3 。,fó gei ngh hòuh jí go,Clerk: 50 cents each.,,Cantonese::FSI
顧客： 啲蘋果呢？,顾客： 啲苹果呢？,gu3 haak3 ： di1 ping4 gwo2 ne1 ？,gu haak dī pìngh gwó nē,Customer: And the apples?,,Cantonese::FSI
火記： 一樣五毫子個。,火记： 一样五毫子个。,fo2 gei3 ： jat1 joeng6 ng5 hou4 zi2 go3 。,fó gei yāt yeungh ngh hòuh jí go,Clerk: The same – 50 cents each.,,Cantonese::FSI
顧客： 啊！我都想買兩鎊糖。 幾錢鎊呀？,顾客： 啊！我都想买两镑糖。 几钱镑呀？,gu3 haak3 ： aa3 ！ ngo5 dou1 soeng2 maai5 loeng5 bong6 tong4 。 gei2 cin2 bong6 aa4 ？,gu haak a ngóh dōu séung máaih léungh bongh tòngh géi chín bongh àh,Customer: Oh! I also want to buy two pounds of sugar. How much is it per pound?,,Cantonese::FSI
火記： 六毫半子鎊。,火记： 六毫半子镑。,fo2 gei3 ： luk6 hou4 bun3 zi2 bong6 。,fó gei luhk hòuh bun jí bongh,Clerk: 65 cents per pound.,,Cantonese::FSI
顧客： 有冇白短襪賣呀？,顾客： 有冇白短袜卖呀？,gu3 haak3 ： jau5 mou5 baak6 dyun2 mat6 maai6 aa4 ？,gu haak yáuh móuh baahk dyún maht maaih àh,Customer: Do you have white socks for sale?,,Cantonese::FSI
售貨員： 有。係唔係你著㗎？,售货员： 有。系唔系你著㗎？,sau6 fo3 jyun4 ： jau5 。 hai6 m4 hai6 nei5 zyu3 ga3 ？,sauh fo yùnh yáuh haih mh haih néih jyu ga,Sales clerk: Yes. Are they for you?,,Cantonese::FSI
顧客： 係。,顾客： 系。,gu3 haak3 ： hai6 。,gu haak haih,Customer: That’s right.,,Cantonese::FSI
售貨員： 著幾號呀？,售货员： 著几号呀？,sau6 fo3 jyun4 ： zyu3 gei2 hou6 aa4 ？,sauh fo yùnh jyu géi houh àh,Sales clerk: What size do you wear?,,Cantonese::FSI
顧客： 九號。,顾客： 九号。,gu3 haak3 ： gau2 hou6 。,gu haak gáu houh,Customer: Number nine.,,Cantonese::FSI
售貨員： 呢啲又平又靚。 你中唔中意呀？,售货员： 呢啲又平又靓。 你中唔中意呀？,sau6 fo3 jyun4 ： ne1 di1 jau6 ping4 jau6 leng3 。 nei5 zung1 m4 zung1 ji3 aa4 ？,sauh fo yùnh nē dī yauh pìngh yauh leng néih jūng mh jūng yi àh,Sales clerk: These are both cheap and pretty. Do you like them?,,Cantonese::FSI
顧客： 幾好，但係唔夠大。 有冇大啲嘅呢？,顾客： 几好，但系唔够大。 有冇大啲嘅呢？,gu3 haak3 ： gei2 hou2 ， daan6 hai6 m4 gau3 daai6 。 jau5 mou5 daai6 di1 ge3 ne1 ？,gu haak géi hóu daanh haih mh gau daaih yáuh móuh daaih dī ge nē,"Customer: They’re quite nice, but they’re not big enough. Do you have any a little bit larger ones?",,Cantonese::FSI
售貨員： 對唔住，大啲嘅都賣晒嘞。 黑色，好唔好呀？ 黑色都好靚㗎。,售货员： 对唔住，大啲嘅都卖晒嘞。 黑色，好唔好呀？ 黑色都好靓㗎。,sau6 fo3 jyun4 ： deoi3 m4 zyu6 ， daai6 di1 ge3 dou1 maai6 saai3 la3 。 hak1 sik1 ， hou2 m4 hou2 aa4 ？ hak1 sik1 dou1 hou2 leng3 ga3 。,sauh fo yùnh deui mh jyuh daaih dī ge dōu maaih saai la hāk sīk hóu mh hóu àh hāk sīk dōu hóu leng ga,"Sales clerk: I’m sorry, the larger ones are all sold out. Would black be alright? The black are also very pretty.",,Cantonese::FSI
顧客： 好呀。,顾客： 好呀。,gu3 haak3 ： hou2 aa4 。,gu haak hóu àh,Customer: Alright.,,Cantonese::FSI
售貨員： 呢啲三文，呢啲三個半。 你愛邊種呀？,售货员： 呢啲三文，呢啲三个半。 你爱边种呀？,sau6 fo3 jyun4 ： ne1 di1 saam1 man4 ， ne1 di1 saam1 go3 bun3 。 nei5 oi3 bin1 zung3 aa4 ？,sauh fo yùnh nē dī sāam mành nē dī sāam go bun néih oi bīn jung àh,Sales clerk: These are three dollars and these are three and a half. Which ones do you want?,,Cantonese::FSI
顧客： 愛三個半嘅啦。,顾客： 爱三个半嘅啦。,gu3 haak3 ： oi3 saam1 go3 bun3 ge3 laa1 。,gu haak oi sāam go bun ge lā,Customer: I’d like the $3.50 ones.,,Cantonese::FSI
售貨員： 買半打呀。,售货员： 买半打呀。,sau6 fo3 jyun4 ： maai5 bun3 daa2 aa4 。,sauh fo yùnh máaih bun dá àh,"Sales clerk: You’ll take half a dozen, I suppose.",,Cantonese::FSI
顧客： 唔使咁多。三對夠嘞。,顾客： 唔使咁多。三对够嘞。,gu3 haak3 ： m4 sai2 gam3 do1 。 saam1 deoi3 gau3 la3 。,gu haak mh sái gam dō sāam deui gau la,Customer: I don’t need that many. Three pairs are enough.,,Cantonese::FSI
工人： 喂，搵邊位呀？,工人： 喂，揾边位呀？,gung1 jan4 ： wai3 ， wan2 bin1 wai2 aa4 ？,gūng yành wai wán bīn wái àh,"Servant: Hello,who are you calling?",,Cantonese::FSI
張生： 唔該你叫李太聽電話。,张生： 唔该你叫李太听电话。,zoeng1 sang1 ： m4 goi1 nei5 giu3 lei5 taai3 teng1 din6 waa2 。,jēung sāng mh gōi néih giu léih taai tēng dinh wá,"Mr Cheung: Mrs Lee, please.",,Cantonese::FSI
工人： 搵邊位話？ 我聽唔清楚。 唔該大聲啲啦。,工人： 揾边位话？ 我听唔清楚。 唔该大声啲啦。,gung1 jan4 ： wan2 bin1 wai2 waa6 ？ ngo5 ting3 m4 cing1 co2 。 m4 goi1 daai6 seng1 di1 laa1 。,gūng yành wán bīn wái wah ngóh ting mh chīng chó mh gōi daaih sēng dī lā,"Servant: Who did you say you were looking for? I didn’t hear. Can you speak louder, please?",,Cantonese::FSI
張生： 李太太。,张生： 李太太。,zoeng1 sang1 ： lei5 taai3 taai2 。,jēung sāng léih taai táai,Mr Cheung: Mrs Lee.,,Cantonese::FSI
工人： 佢去咗街噃。 貴姓搵佢呀？,工人： 佢去咗街噃。 贵姓揾佢呀？,gung1 jan4 ： keoi5 heoi3 zo2 gaai1 bo3 。 gwai3 sing3 wan2 keoi5 aa4 ？,gūng yành kéuih heui jó gāai bo gwai sing wán kéuih àh,Servant: She’s gone out. Who is calling please?,,Cantonese::FSI
張生： 姓張嘅。 佢幾時返嚟呀？,张生： 姓张嘅。 佢几时返嚟呀？,zoeng1 sang1 ： sing3 zoeng1 ge3 。 keoi5 gei2 si4 faan1 lai4 aa4 ？,jēung sāng sing jēung ge kéuih géi sìh fāan làih àh,Mr Cheung: My name is Cheung. When will she be back?,,Cantonese::FSI
工人： 或者十二點零啦。 佢要返嚟食晏嘅。 有咩嘢事呀？,工人： 或者十二点零啦。 佢要返嚟食晏嘅。 有咩嘢事呀？,gung1 jan4 ： waak6 ze2 sap6 ji6 dim2 ling4 laa1 。 keoi5 jiu3 faan1 lai4 sik6 aan3 ge3 。 jau5 me1 je5 si6 aa4 ？,gūng yành waahk jé sahp yih dím lìngh lā kéuih yiu fāan làih sihk aan ge yáuh mē yéh sih àh,Servant: Probably a little after 12. She’s coming home for lunch. What is the matter?,,Cantonese::FSI
張生： 咁，佢返嚟，唔該你叫佢打電話畀張生啦。,张生： 咁，佢返嚟，唔该你叫佢打电话畀张生啦。,zoeng1 sang1 ： gam3 ， keoi5 faan1 lai4 ， m4 goi1 nei5 giu3 keoi5 daa2 din6 waa2 bei2 zoeng1 sang1 laa1 。,jēung sāng gam kéuih fāan làih mh gōi néih giu kéuih dá dinh wá béi jēung sāng lā,"Mr Cheung: Well, when she comes home, please ask her to call Mr Cheung.",,Cantonese::FSI
工人： 佢知唔知你個電話幾多號呀？,工人： 佢知唔知你个电话几多号呀？,gung1 jan4 ： keoi5 zi1 m4 zi1 nei5 go3 din6 waa2 gei2 do1 hou6 aa4 ？,gūng yành kéuih jī mh jī néih go dinh wá géi dō houh àh,Servant: Does she know your telephone number?,,Cantonese::FSI
張生： 佢唔知㗎。 我嘅電話係七八。。。。,张生： 佢唔知㗎。 我嘅电话系七八。。。。,zoeng1 sang1 ： keoi5 m4 zi1 ga3 。 ngo5 ge3 din6 waa2 hai6 cat1 baat3 。 。 。 。,jēung sāng kéuih mh jī ga ngóh ge dinh wá haih chāt baat,Mr Cheung: She doesn’t know. My telephone number is 78…,,Cantonese::FSI
工人： 等我攞枝筆先啦。 喂，幾多號話？,工人： 等我攞枝笔先啦。 喂，几多号话？,gung1 jan4 ： dang2 ngo5 lo2 zi1 bat1 sin1 laa1 。 wai3 ， gei2 do1 hou6 waa6 ？,gūng yành dáng ngóh ló jī bāt sīn lā wai géi dō houh wah,"Servant: Let me get a pen first… Hello, what number did you say?",,Cantonese::FSI
張生： 七八六零五九。,张生： 七八六零五九。,zoeng1 sang1 ： cat1 baat3 luk6 ling4 ng5 gau2 。,jēung sāng chāt baat luhk lìngh ngh gáu,Mr Cheung: 786059.,,Cantonese::FSI
工人： 七八六零五九。 好，佢返嚟，我話佢知啦。,工人： 七八六零五九。 好，佢返嚟，我话佢知啦。,gung1 jan4 ： cat1 baat3 luk6 ling4 ng5 gau2 。 hou2 ， keoi5 faan1 lai4 ， ngo5 waa6 keoi5 zi1 laa1 。,gūng yành chāt baat luhk lìngh ngh gáu hóu kéuih fāan làih ngóh wah kéuih jī lā,"Servant: 786059. Alright. When she comes back, I’ll tell her.",,Cantonese::FSI
張生： 好，唔該。,张生： 好，唔该。,zoeng1 sang1 ： hou2 ， m4 goi1 。,jēung sāng hóu mh gōi,"Mr Cheung: Fine, thanks.",,Cantonese::FSI
遊客： 請問文華酒店喺邊度呀？,游客： 请问文华酒店喺边度呀？,jau4 haak3 ： cing2 man6 man4 waa4 zau2 dim3 hai2 bin1 dou6 aa4 ？,yàuh haak chíng manh mành wàh jáu dim hái bīn douh àh,Tourist: Could you please tell me where the Mandarin Hotel is?,,Cantonese::FSI
本地人： 呢！喺嗰便。,本地人： 呢！喺𠮶便。,bun2 dei6 jan4 ： ne1 ！ hai2 go2 bin1 。,bún deih yành nē hái gó bīn,Local: There! Over there.,,Cantonese::FSI
遊客： 對唔住，我睇唔到。 喺嗰便邊度呀？,游客： 对唔住，我睇唔到。 喺𠮶便边度呀？,jau4 haak3 ： deoi3 m4 zyu6 ， ngo5 tai2 m4 dou3 。 hai2 go2 bin1 bin1 dou6 aa4 ？,yàuh haak deui mh jyuh ngóh tái mh dou hái gó bīn bīn douh àh,"Tourist: Excuse me, I don’t see it. Over there where?",,Cantonese::FSI
本地人： 喺天星馬頭對面。,本地人： 喺天星马头对面。,bun2 dei6 jan4 ： hai2 tin1 sing1 maa5 tau2 deoi3 min6 。,bún deih yành hái tīn sīng máh táu deui minh,Local: It’s opposite the Star Ferry Pier.,,Cantonese::FSI
遊客： 呢左近有冇公司呀？,游客： 呢左近有冇公司呀？,jau4 haak3 ： ne1 zo2 gan2 jau5 mou5 gung1 si1 aa4 ？,yàuh haak nē jó gán yáuh móuh gūng sī àh,Tourist: Is there a department store near there?,,Cantonese::FSI
本地人： 有。呢，嗰便有間。 喺嗰間銀行隔離。,本地人： 有。呢，𠮶便有间。 喺𠮶间银行隔离。,bun2 dei6 jan4 ： jau5 。 ne1 ， go2 bin1 jau5 haan4 。 hai2 go2 haan4 ngan4 hong4 gaak3 lei4 。,bún deih yành yáuh nē gó bīn yáuh hàanh hái gó hàanh ngành hòngh gaak lèih,"Local: Yes, there is. There’s one over there. It’s next to the bank.",,Cantonese::FSI
遊客： 啊，睇到嘞。唔該。,游客： 啊，睇到嘞。唔该。,jau4 haak3 ： aa3 ， tai2 dou3 la3 。 m4 goi1 。,yàuh haak a tái dou la mh gōi,"Tourist: Oh, I see it! Thanks.",,Cantonese::FSI
細妹： 哎呀！我唔記得帶錢添！,细妹： 哎呀！我唔记得带钱添！,sai3 mui2 ： aai1 aa4 ！ ngo5 m4 gei3 dak1 daai3 cin2 tim1 ！,sai múi āai àh ngóh mh gei dāk daai chín tīm,Younger sister: Aiya! I forgot to bring any money!,,Cantonese::FSI
阿哥： 唔緊要，我有。 找返三毫得嘞。,阿哥： 唔紧要，我有。 找返三毫得嘞。,aa3 go1 ： m4 gan2 jiu3 ， ngo5 jau5 。 zaau2 faan2 saam1 hou4 dak1 la3 。,a gō mh gán yiu ngóh yáuh jáau fáan sāam hòuh dāk la,"Older brother: Never mind – I have (some). Give me 30 cents change, that’ll be OK.",,Cantonese::FSI
司機： 我冇得找。 你有冇散銀呀？,司机： 我冇得找。 你有冇散银呀？,si1 gei1 ： ngo5 mou5 dak1 zaau2 。 nei5 jau5 mou5 saan2 ngan2 aa4 ？,sī gēi ngóh móuh dāk jáau néih yáuh móuh sáan ngán àh,Driver: I don’t have any change. Do you have any small coins?,,Cantonese::FSI
阿哥： 有，有。 咦！唔見咗嘅？ 啊！係度。 嗱，呢度七毫子。,阿哥： 有，有。 咦！唔见咗嘅？ 啊！系度。 嗱，呢度七毫子。,aa3 go1 ： jau5 ， jau5 。 ji2 ！ ng5 gin3 zo2 ge3 ？ aa3 ！ hai6 dou6 。 naa4 ， ni1 dou6 cat1 hou4 zi2 。,a gō yáuh yáuh yí ngh gin jó ge a haih douh nàh nī douh chāt hòuh jí,"Older brother: Yes, I have. Eh? Disappeared? Oh, they’re here. Here, here’s 70 cents.",,Cantonese::FSI
