English,Arabic,Bengali,Chinese (Traditional),Farsi,French,German,Pashto,Portuguese,Spanish,Swahili,Turkish,Ukrainian,Urdu,Part of Speech,Example sentence,Grammar explanation,
Bill,فاتورة,বিল,帳單,قبض,facture,Rechnung,بل,conta,factura,bili,fatura,рахунок,بل,noun,The electricity bill was unusually high this month.,A statement showing money owed for services or goods.,
Biometric,قياس حيوي,বায়োমেট্রিক,生物識別的,زیست‌سنجی,biométrique,biometrisch,بايوميټري,biométrico,biométrico,kibayometriki,biyometrik,біометричний,بایومیٹرک,adjective,The phone uses biometric authentication for security.,Relating to identification using physical characteristics such as fingerprints or facial recognition.,
Bite off more than you can chew,يتحمل أكثر من طاقته,সামর্থ্যের বেশি দায় নেওয়া,不自量力,بیش از توان مسئولیت گرفتن,prendre trop de responsabilités,sich zu viel vornehmen,له وسه زيات کار اخيستل,assumir demais,morder más de lo que puedes masticar,kuchukua zaidi ya uwezo,ağır yük almak,взяти на себе забагато,اپنی طاقت سے زیادہ کام لینا,idiom,He bit off more than he could chew by taking three jobs.,To take on more responsibility than one can manage.,
Bite your tongue,يمسك لسانه,কথা চেপে রাখা,忍住不說,جلوی حرف خود را گرفتن,se retenir,die Zunge hüten,خپله ژبه کنټرولول,morder a língua,morderse la lengua,kujizuia konuşmamak,dilini tutmak,прикусити язика,زبان روکنا,idiom,I had to bite my tongue during the argument.,To stop yourself from saying something.,
Blanket,بطانية,কম্বল,毛毯,پتو,couverture,Decke,کمبل,cobertor,manta,blanketi,battaniye,ковдра,کمبل,noun,"It was cold, so he grabbed a blanket from the couch.",A large piece of fabric used for warmth.,
Blink,يرمش,পলক ফেলা,眨眼,پلک زدن,cligner des yeux,blinzeln,سترګې رپول,piscar,parpadear,kupepesa macho,göz kırpmak,моргати,پلک جھپکنا,verb,He blinked several times in the bright sunlight.,To quickly open and close the eyes.,
Blow off steam,يفرغ غضبه,রাগ ঝাড়া,發洩情緒,خالی کردن عصبانیت,se défouler,Dampf ablassen,غصه کمول,desabafar,desahogarse,kuondoa hasira,stres atmak,випустити пару,غصہ نکالنا,idiom,"After work, she goes jogging to blow off steam.",To release stress or strong emotions.,
Blue check,علامة التحقق الزرقاء,নীল যাচাইকরণ চিহ্ন,藍色驗證標記,تیک آبی,pastille bleue,blauer Haken,آبي نښه,selo azul,marca azul,alama ya bluu,mavi tik,синя позначка,بلیو چیک,noun,The celebrity’s account has a blue check on the platform.,A symbol showing that an account has been officially verified.,
Blueprint,مخطط هندسي,নকশা,藍圖,نقشه مهندسی,plan technique,Bauplan,انجينيري نقشه,planta,plano,mchoro wa ujenzi,plan,креслення,بلیو پرنٹ,noun,The engineers reviewed the blueprint before construction began.,A detailed technical drawing or design plan.,
Bolster,يعزز,শক্তিশালী করা,支撐,تقویت کردن,renforcer,stärken,تقویه کول,reforçar,reforzar,kuimarisha,desteklemek,підсилювати,مضبوط کرنا,verb,The evidence bolstered his claim.,To support or strengthen.,
Bond yield,عائد السندات,বন্ডের ফলন,債券收益,بازده اوراق قرضه,rendement obligataire,Rendite,د بانډ عاید,rendimento de títulos,rendimiento de bonos,mavuno ya bond,tahvil getirisi,дохідність облігацій,بانڈ منافع,noun,Bond yields increased.,Return on bonds.,
Boorish,فظ,অভদ্র,粗魯,بی‌ادب,bourru,grob,بې ادبه,burdo,bochornoso,ya kifidhuli,kaba,грубий,بدتمیز,adjective,Boorish behavior offended guests.,Rude.,
Borrow,يستعير,ধার নেওয়া,借用,قرض گرفتن,emprunter,ausleihen,پور اخيستل,emprestar,pedir prestado,kukopa,ödünç almak,позичати,ادھار لینا,verb,Can I borrow your charger for a few minutes?,To take and use something temporarily with permission.,
Bother,يزعج,বিরক্ত করা,打擾,مزاحم شدن,déranger,stören,تنګول,incomodar,molestar,kusumbua,rahatsız etmek,турбувати,تنگ کرنا,verb,Sorry to bother you so late at night.,To annoy or interrupt someone.,
Brazen,وقح,بেহায়া,無恥的,بی‌شرم,décomplexé,frech,بې شرمه,descarado,descarado,kiburi,küstah,безсоромний,بے شرم,adjective,Brazen behavior shocked them. Bold without shame.,,
Breach,انتهاك,লঙ্ঘন,違約,نقض,violation,Verstoß,سرغړونه,violação,incumplimiento,ukiukaji,ihlal,порушення,خلاف ورزی,noun,The company was sued for breach of contract.,A failure to fulfill a legal obligation or agreement.,
Break the ice,كسر الجمود,অস্বস্তি দূর করা,打破僵局,یخ را شکستن,briser la glace,das Eis brechen,خبرو پيل کول,quebrar o gelo,romper el hielo,kuvunja ukimya,buzları kırmak,розрядити атмосферу,جھجک ختم کرنا,idiom,He told a joke to break the ice at the meeting.,To make people feel more comfortable in a social situation.,
Brusque,فظ,রূঢ়,粗魯,تند,brusque,brüsk,بې ادبه,brusco,brusco,mkali,sert,різкий,بدتمیز,adjective,A brusque reply offended him.,Blunt or rude.,
Budget-conscious,حريص على الميزانية,বাজেট সচেতন,注重預算的,مراقب بودجه,soucieux du budget,budgetbewusst,د بودجې په اړه محتاط,consciente do orçamento,consciente del presupuesto,mwenye kujali bajeti,bütçe bilincine sahip,економний,بجٹ کا خیال رکھنے والا,adjective,She became more budget-conscious after moving into her own apartment.,Careful about spending money and staying within financial limits.,
Buffer state,دولة عازلة,বাফার রাষ্ট্র,緩衝國,دولت حائل,État tampon,Pufferstaat,حائل دولت,estado tampão,estado tapón,nchi ya kati,Pufferstaat,буферна держава,بفر ریاست,noun,The buffer state reduced conflict.,Between rival powers.,
Bug,خطأ برمجي,বাগ,程式錯誤,باگ,bogue,Softwarefehler,پروګرام تېروتنه,bug,error,error ya programu,hata,помилка,بگ,noun,A software bug caused the application to crash.,An error or flaw in a computer program.,
Bureaucracy,البيروقراطية,আমলাতন্ত্র,官僚制度,بوروکراسی,bureaucratie,Bürokratie,بیروکراسي,burocracia,burocracia,urasimu,Bürokrasi,бюрократія,بیوروکریسی,noun,Bureaucracy slowed reforms.,Administrative system.,
Burgeon,ينمو بسرعة,দ্রুত বৃদ্ধি পাওয়া,迅速成長,رشد کردن,s’épanouir,wachsen,چټک وده کول,crescer rapidamente,crecer rápidamente,kukua haraka,serpilmek,швидко зростати,تیزی سے بڑھنا,verb,The startup began to burgeon quickly.,To grow or increase rapidly.,
Burn bridges,يقطع العلاقات,সম্পর্ক নষ্ট করা,斷絕關係,پل‌های پشت سر را خراب کردن,couper les ponts,Brücken abbrechen,اړيکې ختمول,queimar pontes,quemar puentes,kukatiza mahusiano,köprüleri yakmak,спалити мости,رشتے خراب کرنا,idiom,Be careful not to burn bridges when leaving your job.,To damage relationships permanently.,
Burnout,الاحتراق,বার্নআউট,職業倦怠,فرسودگی شغلی,burnout,Burnout,ذہني ستړیا,esgotamento,agotamiento,kuchoka kazi,tükenmişlik,вигорання,ذہنی تھکن,noun,Employee burnout increased.,Chronic work exhaustion.,
By the book,حسب القواعد,নিয়ম মেনে,照章辦事,طبق قانون,selon les règles,nach Vorschrift,د اصولو مطابق,conforme as regras,según las reglas,kufuata sheria,kurallara uygun,за правилами,اصول کے مطابق,idiom,The auditor does everything by the book.,To follow rules and procedures exactly.,
Bylaw,لائحة داخلية,উপবিধি,附則,آیین‌نامه,statut,Satzung,داخلي قانون,estatuto,estatuto,sheria ndogo,yönetmelik,підзаконний акт,ضمنی قانون,noun,The organization amended its bylaws during the annual meeting.,A rule governing the internal management of an organization.,
Byzantine,معقد,জটিল,複雜,پیچیده,byzantin,kompliziert,پیچلی,byzantin,byzantino,ya kisiasa cha magumu,karmaşık,візантійський,پیچیدہ,adjective,A Byzantine system existed.,Overly complex.,
Cacophony,ضجيج,কর্কশ শব্দ,刺耳聲,هیاهو,cacophonie,Kakophonie,شور,cacofonia,cacofonía,kelele,kakofoni,какофонія,شور,noun,The street was a cacophony of horns.,Harsh mixture of sounds.,
Cajole,يغري بلطف,মিষ্টি কথায় রাজি করানো,哄騙,راضی کردن,amadouer,überreden,نرم قانع کول,convencer com charme,persuadir,consolar,kandırmak,улесливо переконувати,لبھانا,verb,She cajoled him into joining the trip.,To persuade using flattery.,
Calibration,معايرة,ক্যালিব্রেশন,校準,کالیبراسیون,étalonnage,Kalibrierung,برابرونه,calibração,calibración,urekebishaji kalibrasyon,калібрування,کیلیبریشن,noun,Regular calibration ensures accurate measurements.,The process of adjusting equipment for precision and accuracy.,,
Call it a day,ينهي العمل,আজকের মতো শেষ করা,收工,کار را تمام کردن,arrêter pour aujourd’hui,Feierabend machen,کار ختمول,encerrar por hoje,dar por terminado,kumaliza kazi,günü bitirmek,закінчити на сьогодні,آج کا کام ختم کرنا,idiom,Let’s call it a day and continue tomorrow.,To stop working on something for the day.,
Candid,صريح,সোজাসাপ্টা,坦率,صریح,franc,offen,صادق,cândido,cándido,wa wazi,dürüst,відвертий,صاف گو,adjective,A candid interview revealed truth.,Honest and direct.,
Candidacy,ترشح,প্রার্থিতা,候選,نامزدی,candidature,Bewerbung,نامزدي,candidatura,candidatura,ugombeaji,Kandidatur,кандидатура,امیدواری,noun,He announced his candidacy.,State of being a candidate.,
Candor,صراحة,খোলামেলা ভাব,坦率,صداقت,franchise,Offenheit,رښتینولي,franqueza,franqueza,uwazi,açık sözlülük,відвертість,صاف گوئی,noun,I appreciated her candor.,Honesty and openness.,
Capacitor,مكثف كهربائي,ক্যাপাসিটর,電容器,خازن,condensateur,Kondensator,برقي ذخیره کوونکی,capacitor,condensador,kondensa,kondansatör,конденсатор,کیپیسٹر,noun,The capacitor stores electrical energy temporarily.,An electrical component that stores charge.,
Capex,الإنفاق الرأسمالي,মূলধনী ব্যয়,資本支出,هزینه سرمایه,capex,Investitionsausgaben,سرمایه لګښت,capex,capex,uwekezaji,sermaye gideri,капітальні витрати,سرمایہ خرچ,noun,Capex increased this year.,Capital expenditure.,
Capital flight,هروب رؤوس الأموال,পুঁজি পলায়ন,資本外逃,فرار سرمایه,fuite des capitaux,Kapitalflucht,د پانګې تېښته,fuga de capitais,huida de capital,mtiririko wa mtaji,sermaye kaçışı,відтік капіталу,سرمایہ فرار,noun,Capital flight weakened economy.,Capital leaving country.,
Capitulate,يستسلم,আত্মসমর্পণ করা,投降,تسلیم شدن,capituler,kapitulieren,تسلیمېدل,capitular,capitular,kusalimu,teslim olmak,капітуляція,ہتھیار ڈالنا,verb,They refused to capitulate.,To surrender.,
Capricious,متقلب,খামখেয়ালি,反覆無常的,دمدمی مزاج,capricieux,launisch,ناپایدار,caprichoso,caprichoso,mwenye kubadilika,kaprisli,примхливий,من موجی,adjective,Capricious weather ruined plans.,Unpredictable behavior or change.,
